Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_1 Spectral Count	control_2 Spectral Count	control_3 Spectral Count	control_4 Spectral Count	control_5 Spectral Count	control_6 Spectral Count	control_1 Unique Spectral Count	control_2 Unique Spectral Count	control_3 Unique Spectral Count	control_4 Unique Spectral Count	control_5 Unique Spectral Count	control_6 Unique Spectral Count	control_1 Total Spectral Count	control_2 Total Spectral Count	control_3 Total Spectral Count	control_4 Total Spectral Count	control_5 Total Spectral Count	control_6 Total Spectral Count	control_1 Intensity	control_2 Intensity	control_3 Intensity	control_4 Intensity	control_5 Intensity	control_6 Intensity	control_1 MaxLFQ Intensity	control_2 MaxLFQ Intensity	control_3 MaxLFQ Intensity	control_4 MaxLFQ Intensity	control_5 MaxLFQ Intensity	control_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|O75147|OBSL1_HUMAN	O75147	OBSL1_HUMAN	OBSL1	1896	Homo sapiens	1:Experimental evidence at protein level	Obscurin-like protein 1	0.9514	0.999	1	3	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0.0	13402.383	12525.3125	14804.934	13793.651	16072.718	0.0	0.0	0.0	0.0	0.0	0.0	tr|A6NN50|A6NN50_HUMAN
sp|O75150|BRE1B_HUMAN	O75150	BRE1B_HUMAN	RNF40	1001	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase BRE1B	1.0	0.999	23	152	2	152	25	29	21	27	22	28	0	0	0	1	0	1	25	29	21	27	22	28	1177076.9	1186413.2	1146690.1	1262140.9	1241850.8	1472616.6	138261.66	137085.22	132157.72	138519.7	140584.2	145432.84	
sp|O75152|ZC11A_HUMAN	O75152	ZC11A_HUMAN	ZC3H11A	810	Homo sapiens	1:Experimental evidence at protein level	Zinc finger CCCH domain-containing protein 11A	1.0	0.999	14	73	0	73	10	10	10	15	13	15	0	0	0	0	0	0	10	10	10	15	13	15	581350.1	659340.25	687683.56	657607.25	606442.1	644794.06	61515.727	66708.35	65745.664	66859.375	70704.64	65841.78	
sp|O75153|CLU_HUMAN	O75153	CLU_HUMAN	CLUH	1309	Homo sapiens	1:Experimental evidence at protein level	Clustered mitochondria protein homolog	0.9999	0.999	33	8	8	300	1	1	1	3	1	1	1	1	1	3	1	1	55	51	43	54	51	46	79698.8	83886.3	82720.25	91565.31	91983.586	89239.94	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75154|RFIP3_HUMAN	O75154	RFIP3_HUMAN	RAB11FIP3	756	Homo sapiens	1:Experimental evidence at protein level	Rab11 family-interacting protein 3	0.6955	0.9915	1	9	0	9	1	1	2	1	2	2	0	0	0	0	0	0	1	1	2	1	2	2	76230.41	80716.55	80009.57	53791.56	46010.68	51888.363	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q86YS3|RFIP4_HUMAN, tr|A0A0J9YWV4|A0A0J9YWV4_HUMAN, tr|X6RFI8|X6RFI8_HUMAN
sp|O75155|CAND2_HUMAN	O75155	CAND2_HUMAN	CAND2	1236	Homo sapiens	1:Experimental evidence at protein level	Cullin-associated NEDD8-dissociated protein 2	1.0	0.999	5	10	10	20	0	4	1	3	1	1	0	4	1	3	1	1	1	5	3	5	3	3	12029.485	47647.957	27999.76	30417.254	0.0	18414.016	0.0	15576.924	20079.291	21467.379	0.0	0.0	
sp|O75157|T22D2_HUMAN	O75157	T22D2_HUMAN	TSC22D2	780	Homo sapiens	1:Experimental evidence at protein level	TSC22 domain family protein 2	1.0	0.999	9	26	20	32	4	6	3	6	3	4	1	5	3	5	2	4	5	7	4	7	4	5	185206.0	290069.44	244587.95	291565.75	219133.5	235894.19	67959.82	70312.63	69097.125	68445.06	67810.15	64530.777	
sp|O75164|KDM4A_HUMAN	O75164	KDM4A_HUMAN	KDM4A	1064	Homo sapiens	1:Experimental evidence at protein level	Lysine-specific demethylase 4A	1.0	0.999	3	5	4	5	1	0	2	1	0	1	1	0	2	0	0	1	1	0	2	1	0	1	57274.934	45008.31	51739.965	35684.234	0.0	35391.355	51208.203	0.0	43219.89	26313.521	0.0	30403.615	
sp|O75165|DJC13_HUMAN	O75165	DJC13_HUMAN	DNAJC13	2243	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 13	0.9513	0.999	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	17404.791	0.0	0.0	0.0	22112.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75170|PP6R2_HUMAN	O75170	PP6R2_HUMAN	PPP6R2	966	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 regulatory subunit 2	1.0	0.999	2	6	0	6	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0.0	8470.848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|T1ECW5|T1ECW5_HUMAN
sp|O75175|CNOT3_HUMAN	O75175	CNOT3_HUMAN	CNOT3	753	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 3	1.0	0.999	8	53	0	53	8	8	9	8	11	9	0	0	0	0	0	0	8	8	9	8	11	9	432708.78	471683.28	482903.47	530153.0	515831.16	513867.75	105741.24	117145.23	113787.39	119397.26	112206.984	113050.72	tr|B7Z6J7|B7Z6J7_HUMAN
sp|O75177|CREST_HUMAN	O75177	CREST_HUMAN	SS18L1	396	Homo sapiens	1:Experimental evidence at protein level	Calcium-responsive transactivator	0.9514	0.999	1	8	8	8	2	1	2	1	2	0	2	1	2	1	2	0	2	1	2	1	2	0	22428.162	21523.014	23590.453	24849.805	24944.262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75179|ANR17_HUMAN	O75179	ANR17_HUMAN	ANKRD17	2603	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein 17	1.0	0.999	35	132	0	217	23	28	19	22	19	21	0	0	0	0	0	0	39	43	34	35	32	34	966316.0	846383.6	924571.1	919518.9	851093.75	845597.56	103354.67	98873.89	102236.18	102962.22	102414.52	104003.88	
sp|O75190|DNJB6_HUMAN	O75190	DNJB6_HUMAN	DNAJB6	326	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily B member 6	1.0	0.999	5	42	0	42	6	7	8	8	6	7	0	0	0	0	0	0	6	7	8	8	6	7	655666.3	703060.6	726076.56	737560.5	663291.0	681232.1	178052.55	191814.19	201742.33	201013.47	186459.2	191608.03	
sp|O75191|XYLB_HUMAN	O75191	XYLB_HUMAN	XYLB	536	Homo sapiens	1:Experimental evidence at protein level	Xylulose kinase	1.0	0.999	3	7	0	7	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	2	30529.1	90514.34	133528.55	23900.605	179107.6	126568.8	52763.277	70999.24	111282.16	0.0	105409.79	71712.39	tr|A0A3B3IRM4|A0A3B3IRM4_HUMAN
sp|O75208|COQ9_HUMAN	O75208	COQ9_HUMAN	COQ9	318	Homo sapiens	1:Experimental evidence at protein level	Ubiquinone biosynthesis protein COQ9, mitochondrial	1.0	0.999	3	18	0	18	2	3	3	3	5	2	0	0	0	0	0	0	2	3	3	3	5	2	107333.875	107828.71	104761.58	108383.38	109739.15	119665.71	48173.316	47679.45	47728.78	49571.836	50122.977	53728.637	tr|H3BNT2|H3BNT2_HUMAN, tr|H3BSJ5|H3BSJ5_HUMAN
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens	1:Experimental evidence at protein level	Gamma-glutamylcyclotransferase	1.0	0.999	9	62	0	62	11	10	8	11	11	11	0	0	0	0	0	0	11	10	8	11	11	11	1187583.1	1200556.9	1145106.2	1181001.4	1201576.2	1223641.5	292612.72	310183.88	301837.53	311759.53	321003.03	322714.53	
sp|O75251|NDUS7_HUMAN	O75251	NDUS7_HUMAN	NDUFS7	213	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	1.0	0.999	4	22	0	22	3	3	3	6	4	3	0	0	0	0	0	0	3	3	3	6	4	3	294859.78	308459.84	377976.28	352832.3	293442.28	329570.88	133236.75	131376.38	141865.75	135802.67	127268.055	136638.27	tr|F5GXJ1|F5GXJ1_HUMAN, tr|F5H5N1|F5H5N1_HUMAN
sp|O75306|NDUS2_HUMAN	O75306	NDUS2_HUMAN	NDUFS2	463	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	1.0	0.999	12	77	0	77	16	12	10	16	12	11	0	0	0	0	0	0	16	12	10	16	12	11	930285.2	871699.75	857819.75	914972.5	817862.9	833141.44	209075.66	198532.56	195605.94	214323.67	209341.52	203301.69	tr|A0A7I2V4X8|A0A7I2V4X8_HUMAN
sp|O75312|ZPR1_HUMAN	O75312	ZPR1_HUMAN	ZPR1	459	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein ZPR1	1.0	0.999	17	157	0	157	30	30	24	24	21	28	0	0	0	0	0	0	30	30	24	24	21	28	1721598.2	1453487.6	1458233.9	1695911.4	1596461.4	1576161.2	189666.75	183148.25	183867.08	193976.28	188983.28	186408.23	
sp|O75319|DUS11_HUMAN	O75319	DUS11_HUMAN	DUSP11	377	Homo sapiens	1:Experimental evidence at protein level	RNA/RNP complex-1-interacting phosphatase	1.0	0.999	3	9	0	9	0	3	1	1	1	3	0	0	0	0	0	0	0	3	1	1	1	3	80800.73	100491.08	62265.688	63647.082	64135.484	62366.195	55689.61	54385.543	43569.164	46092.1	44799.95	44246.992	tr|A0A8Q3SIB0|A0A8Q3SIB0_HUMAN, tr|A0A8Q3SIF8|A0A8Q3SIF8_HUMAN
sp|O75323|NIPS2_HUMAN	O75323	NIPS2_HUMAN	NIPSNAP2	286	Homo sapiens	1:Experimental evidence at protein level	Protein NipSnap homolog 2	1.0	0.999	6	25	0	25	6	7	3	3	2	4	0	0	0	0	0	0	6	7	3	3	2	4	191319.45	185514.5	150471.88	209759.94	142748.03	167592.33	92147.81	92303.945	93828.266	108434.39	97075.44	106383.125	
sp|O75330|HMMR_HUMAN	O75330	HMMR_HUMAN	HMMR	724	Homo sapiens	1:Experimental evidence at protein level	Hyaluronan mediated motility receptor	1.0	0.999	18	94	91	94	17	16	16	19	16	10	17	15	16	19	15	9	17	16	16	19	16	10	665047.56	706761.6	638762.1	716124.0	577874.3	673607.1	86367.23	85630.61	85646.77	95388.83	89926.92	92162.66	
sp|O75340|PDCD6_HUMAN	O75340	PDCD6_HUMAN	PDCD6	191	Homo sapiens	1:Experimental evidence at protein level	Programmed cell death protein 6	1.0	0.999	7	68	8	68	11	12	8	12	11	14	1	1	1	1	1	3	11	12	8	12	11	14	993292.25	977846.7	955394.9	1005052.56	972014.3	927091.56	314137.3	307122.03	293736.94	317374.75	309469.47	287163.25	
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens	1:Experimental evidence at protein level	Tubulin-specific chaperone A	1.0	0.999	9	85	0	85	13	14	13	12	17	16	0	0	0	0	0	0	13	14	13	12	17	16	2898207.2	3128775.8	3077343.8	3343157.2	2966272.2	3429257.0	702264.8	708893.7	699268.56	749848.06	768830.7	759041.06	tr|E5RIW3|E5RIW3_HUMAN, tr|E5RJD8|E5RJD8_HUMAN
sp|O75348|VATG1_HUMAN	O75348	VATG1_HUMAN	ATP6V1G1	118	Homo sapiens	1:Experimental evidence at protein level	V-type proton ATPase subunit G 1	1.0	0.999	3	35	8	35	5	6	5	5	8	6	1	1	1	1	2	2	5	6	5	5	8	6	798561.2	807630.44	792164.94	823278.6	813002.0	781400.9	341870.66	341730.03	340687.3	356188.34	358678.28	342728.44	
sp|O75351|VPS4B_HUMAN	O75351	VPS4B_HUMAN	VPS4B	444	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 4B	1.0	0.999	8	44	44	54	5	5	10	9	9	6	5	5	10	9	9	6	8	6	11	11	10	8	284308.0	281451.22	302181.7	282062.47	294291.97	303714.03	76232.195	74709.88	72398.555	67997.82	77148.78	74482.945	
sp|O75362|ZN217_HUMAN	O75362	ZN217_HUMAN	ZNF217	1048	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 217	1.0	0.999	4	13	13	13	5	0	1	2	2	3	5	0	1	2	2	3	5	0	1	2	2	3	72694.22	61844.297	38099.21	42812.65	49914.36	63082.543	27292.441	23266.71	21788.596	28935.557	28654.758	28153.28	
sp|O75363|BCAS1_HUMAN	O75363	BCAS1_HUMAN	BCAS1	584	Homo sapiens	1:Experimental evidence at protein level	Breast carcinoma-amplified sequence 1	0.8979	0.9978	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	20827.984	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A8I5KRZ2|A0A8I5KRZ2_HUMAN, tr|A0A8I5KSK1|A0A8I5KSK1_HUMAN, tr|A0A8I5KUN3|A0A8I5KUN3_HUMAN, tr|G3XAF7|G3XAF7_HUMAN, tr|H0Y542|H0Y542_HUMAN
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	369	Homo sapiens	1:Experimental evidence at protein level	Core histone macro-H2A.1	1.0	0.999	14	189	0	189	32	26	32	31	33	35	0	0	0	0	0	0	32	26	32	31	33	35	2029645.8	2022046.6	2117973.5	2104848.0	2152633.8	2010391.2	385135.03	383779.5	391812.9	395004.88	412465.8	385037.72	
sp|O75368|SH3L1_HUMAN	O75368	SH3L1_HUMAN	SH3BGRL	114	Homo sapiens	1:Experimental evidence at protein level	Adapter SH3BGRL	1.0	0.999	6	50	50	50	11	6	9	8	9	7	11	6	9	8	9	7	11	6	9	8	9	7	817494.6	686157.75	791466.25	799991.7	702272.94	692156.25	260249.4	233621.52	248616.58	251167.77	220116.02	216716.25	
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens	1:Experimental evidence at protein level	Filamin-B	1.0	0.999	98	712	0	808	127	129	108	106	123	119	0	0	0	0	0	0	141	146	129	121	137	134	6566751.5	6550272.0	6451714.0	6599104.0	6555328.0	6552276.5	175717.25	176869.77	174941.64	181442.44	180503.83	181483.72	
sp|O75379|VAMP4_HUMAN	O75379	VAMP4_HUMAN	VAMP4	141	Homo sapiens	1:Experimental evidence at protein level	Vesicle-associated membrane protein 4	1.0	0.999	3	14	14	14	2	2	2	5	3	0	2	2	2	5	3	0	2	2	2	5	3	0	105047.83	118116.08	105117.74	187137.4	158719.42	91743.44	62155.43	69804.6	62659.367	91336.68	78425.66	54514.8	
sp|O75380|NDUS6_HUMAN	O75380	NDUS6_HUMAN	NDUFS6	124	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	1.0	0.999	3	26	1	26	5	4	6	4	4	3	0	0	1	0	0	0	5	4	6	4	4	3	229952.61	134307.31	200391.48	214050.98	197378.0	197642.81	119357.42	136610.28	97881.164	108654.51	94218.22	93714.63	
sp|O75381|PEX14_HUMAN	O75381	PEX14_HUMAN	PEX14	377	Homo sapiens	1:Experimental evidence at protein level	Peroxisomal membrane protein PEX14	1.0	0.999	10	81	81	81	17	17	11	10	13	13	17	17	11	10	13	13	17	17	11	10	13	13	609195.5	582865.8	538610.3	509886.2	537593.3	567167.9	126244.62	123051.59	116765.53	110318.67	112367.0	110902.586	
sp|O75387|LAT3_HUMAN	O75387	LAT3_HUMAN	SLC43A1	559	Homo sapiens	1:Experimental evidence at protein level	Large neutral amino acids transporter small subunit 3	0.9514	0.999	1	7	7	7	1	1	2	0	1	2	1	1	2	0	1	2	1	1	2	0	1	2	104551.625	114088.34	101983.05	0.0	119752.195	109776.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens	1:Experimental evidence at protein level	Citrate synthase, mitochondrial	1.0	0.999	15	166	0	166	24	34	30	26	27	25	0	0	0	0	0	0	24	34	30	26	27	25	3521148.8	3553453.0	3592488.8	3613857.8	3594762.0	3519205.5	785675.9	773606.25	799879.2	866622.3	857552.6	847013.1	tr|B4DJV2|B4DJV2_HUMAN
sp|O75391|SPAG7_HUMAN	O75391	SPAG7_HUMAN	SPAG7	227	Homo sapiens	1:Experimental evidence at protein level	Sperm-associated antigen 7	1.0	0.999	7	39	1	39	7	7	9	5	6	5	0	1	0	0	0	0	7	7	9	5	6	5	270279.28	235330.42	249736.75	260363.44	279949.38	275760.56	70937.29	63024.547	69008.97	71923.984	75818.62	75439.3	
sp|O75394|RM33_HUMAN	O75394	RM33_HUMAN	MRPL33	65	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein bL33m	1.0	0.999	2	13	13	13	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	92987.125	84496.91	91827.98	112787.05	95053.59	101362.81	49000.59	44485.39	48251.87	59066.414	50120.375	53427.25	
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens	1:Experimental evidence at protein level	Vesicle-trafficking protein SEC22b	1.0	0.999	6	50	36	50	10	8	9	8	6	9	7	6	7	5	4	7	10	8	9	8	6	9	424957.4	413375.0	411458.78	417324.62	385650.75	397491.16	103124.195	99215.18	99139.56	104348.14	96329.93	95186.18	
sp|O75400|PR40A_HUMAN	O75400	PR40A_HUMAN	PRPF40A	957	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-processing factor 40 homolog A	1.0	0.999	27	190	0	190	31	33	34	31	33	28	0	0	0	0	0	0	31	33	34	31	33	28	2885361.2	2922999.2	2741426.8	2867375.5	2768658.8	2732693.5	358080.47	358972.5	336825.9	351781.5	342133.8	335750.38	tr|F5H578|F5H578_HUMAN
sp|O75410|TACC1_HUMAN	O75410	TACC1_HUMAN	TACC1	805	Homo sapiens	1:Experimental evidence at protein level	Transforming acidic coiled-coil-containing protein 1	1.0	0.999	13	82	0	82	10	14	12	16	17	13	0	0	0	0	0	0	10	14	12	16	17	13	492704.34	456536.97	438595.8	469916.94	479343.4	438975.1	72071.99	71899.49	69493.85	70867.04	74711.82	70384.58	
sp|O75414|NDK6_HUMAN	O75414	NDK6_HUMAN	NME6	186	Homo sapiens	1:Experimental evidence at protein level	Nucleoside diphosphate kinase 6	0.9473	0.9989	1	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.0	14140.706	10295.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0C4DG91|A0A0C4DG91_HUMAN, tr|A0A2R8Y547|A0A2R8Y547_HUMAN, tr|A0A2R8Y7V2|A0A2R8Y7V2_HUMAN, tr|C9JQB1|C9JQB1_HUMAN
sp|O75419|CDC45_HUMAN	O75419	CDC45_HUMAN	CDC45	566	Homo sapiens	1:Experimental evidence at protein level	Cell division control protein 45 homolog	1.0	0.999	12	89	0	89	14	15	15	17	12	16	0	0	0	0	0	0	14	15	15	17	12	16	704888.0	647814.6	676068.44	726214.1	706738.9	729760.44	146732.66	142836.52	143009.5	148921.98	144610.44	138507.92	
sp|O75420|GGYF1_HUMAN	O75420	GGYF1_HUMAN	GIGYF1	1035	Homo sapiens	1:Experimental evidence at protein level	GRB10-interacting GYF protein 1	1.0	0.9988	3	6	6	6	3	0	2	0	1	0	3	0	2	0	1	0	3	0	2	0	1	0	29483.125	19304.346	34018.836	20716.043	57018.727	18780.162	17472.086	0.0	20241.895	0.0	28482.42	0.0	
sp|O75427|LRCH4_HUMAN	O75427	LRCH4_HUMAN	LRCH4	683	Homo sapiens	1:Experimental evidence at protein level	Leucine-rich repeat and calponin homology domain-containing protein 4	1.0	0.999	3	4	0	4	1	3	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	4632.9053	38493.25	0.0	20831.932	9146.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|H7C5D9|H7C5D9_HUMAN
sp|O75431|MTX2_HUMAN	O75431	MTX2_HUMAN	MTX2	263	Homo sapiens	1:Experimental evidence at protein level	Metaxin-2	1.0	0.999	9	67	0	67	11	13	8	10	15	10	0	0	0	0	0	0	11	13	8	10	15	10	523885.34	705414.7	670140.9	480287.88	518299.03	492665.56	167844.81	162721.83	151976.22	148974.98	164557.81	154344.97	
sp|O75436|VP26A_HUMAN	O75436	VP26A_HUMAN	VPS26A	327	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 26A	1.0	0.999	12	107	44	107	20	18	19	15	17	18	9	5	6	8	7	9	20	18	19	15	17	18	1440123.2	1438989.9	1475140.2	1552550.8	1457131.9	1472774.2	310795.25	302514.56	294369.56	302200.97	310611.25	302299.16	
sp|O75438|NDUB1_HUMAN	O75438	NDUB1_HUMAN	NDUFB1	58	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	1.0	0.999	4	25	25	25	5	3	3	3	6	5	5	3	3	3	6	5	5	3	3	3	6	5	173153.75	162660.47	202122.94	225014.95	204291.89	224409.66	113815.17	105456.914	131174.34	135595.06	132736.7	134090.38	
sp|O75439|MPPB_HUMAN	O75439	MPPB_HUMAN	PMPCB	489	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial-processing peptidase subunit beta	1.0	0.999	16	144	2	144	25	23	23	25	28	20	1	0	0	0	0	1	25	23	23	25	28	20	1368940.5	1376788.4	1421046.8	1377478.5	1370185.5	1361328.0	140052.4	143452.92	146941.81	146843.73	146278.02	144614.12	
sp|O75446|SAP30_HUMAN	O75446	SAP30_HUMAN	SAP30	220	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP30	1.0	0.999	2	14	14	14	3	3	2	2	1	3	3	3	2	2	1	3	3	3	2	2	1	3	92460.21	73009.95	109537.51	81943.2	82587.234	108209.86	69351.98	54549.87	74928.555	62928.516	64324.31	76510.5	
sp|O75448|MED24_HUMAN	O75448	MED24_HUMAN	MED24	989	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 24	1.0	0.999	9	28	0	28	8	6	3	3	5	3	0	0	0	0	0	0	8	6	3	3	5	3	308226.53	308118.34	242690.08	267442.97	278579.84	269697.25	60496.277	58021.242	55401.758	60345.707	60980.547	60627.855	tr|A0A0B4J1W0|A0A0B4J1W0_HUMAN, tr|F5GY88|F5GY88_HUMAN
sp|O75449|KTNA1_HUMAN	O75449	KTNA1_HUMAN	KATNA1	491	Homo sapiens	1:Experimental evidence at protein level	Katanin p60 ATPase-containing subunit A1	1.0	0.999	5	16	7	16	6	3	2	3	2	0	1	1	2	2	1	0	6	3	2	3	2	0	91729.75	83790.055	95584.445	117468.94	116006.234	89372.914	34852.414	25250.486	29819.44	36045.887	35732.77	32593.588	
sp|O75459|PAGE1_HUMAN	O75459	PAGE1_HUMAN	PAGE1	146	Homo sapiens	1:Experimental evidence at protein level	P antigen family member 1	1.0	0.999	4	67	67	67	14	10	12	12	10	9	14	10	12	12	10	9	14	10	12	12	10	9	647988.75	662361.94	661387.44	647095.0	629357.44	654912.4	338294.78	329245.78	323626.25	315172.53	309179.78	303437.4	
sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	Homo sapiens	1:Experimental evidence at protein level	PC4 and SFRS1-interacting protein	1.0	0.999	13	125	125	140	17	23	21	24	17	23	17	23	21	24	17	23	20	25	24	26	19	26	724070.2	802961.0	737994.4	782029.75	775940.3	808640.56	207474.98	209874.95	205106.23	212053.48	205388.08	209233.42	
sp|O75486|SUPT3_HUMAN	O75486	SUPT3_HUMAN	SUPT3H	317	Homo sapiens	1:Experimental evidence at protein level	Transcription initiation protein SPT3 homolog	1.0	0.999	2	4	0	4	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	26121.236	26448.33	0.0	25983.72	0.0	25329.826	19099.64	21146.352	0.0	18024.854	0.0	0.0	tr|A0A1B0GVT7|A0A1B0GVT7_HUMAN, tr|A0A6I8PRV1|A0A6I8PRV1_HUMAN
sp|O75489|NDUS3_HUMAN	O75489	NDUS3_HUMAN	NDUFS3	264	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	1.0	0.999	9	74	61	74	12	11	10	12	13	16	9	10	7	10	12	13	12	11	10	12	13	16	747637.1	766713.94	886373.9	793277.4	755071.2	760451.44	309200.0	305159.94	297447.5	315744.12	304112.7	305090.88	
sp|O75494|SRS10_HUMAN	O75494	SRS10_HUMAN	SRSF10	262	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 10	1.0	0.999	7	99	0	99	21	17	18	16	13	14	0	0	0	0	0	0	21	17	18	16	13	14	1767347.5	1925954.5	1727750.4	1804088.2	1715209.8	1732266.2	598940.6	585735.5	542006.7	565702.56	578204.94	542316.3	tr|Q5JRI1|Q5JRI1_HUMAN
sp|O75496|GEMI_HUMAN	O75496	GEMI_HUMAN	GMNN	209	Homo sapiens	1:Experimental evidence at protein level	Geminin	1.0	0.999	8	54	0	54	9	11	10	10	6	8	0	0	0	0	0	0	9	11	10	10	6	8	491663.66	515999.56	533009.8	398873.38	510253.3	485707.94	121076.66	122294.94	124941.52	131746.83	130047.41	134198.16	tr|E2QRF9|E2QRF9_HUMAN
sp|O75506|HSBP1_HUMAN	O75506	HSBP1_HUMAN	HSBP1	76	Homo sapiens	1:Experimental evidence at protein level	Heat shock factor-binding protein 1	1.0	0.999	4	45	22	45	7	7	9	8	8	6	3	3	5	4	4	3	7	7	9	8	8	6	428723.66	400832.3	386801.47	381554.47	364864.22	326130.84	302647.94	284487.34	247695.81	246631.25	203988.53	189895.0	
sp|O75521|ECI2_HUMAN	O75521	ECI2_HUMAN	ECI2	394	Homo sapiens	1:Experimental evidence at protein level	Enoyl-CoA delta isomerase 2	1.0	0.999	11	97	0	97	14	12	17	18	17	19	0	0	0	0	0	0	14	12	17	18	17	19	999155.4	1001706.2	923372.7	967050.44	949843.25	929329.56	157939.7	161276.36	152464.12	152806.02	156958.14	156555.31	tr|A0A0C4DGA2|A0A0C4DGA2_HUMAN
sp|O75528|TADA3_HUMAN	O75528	TADA3_HUMAN	TADA3	432	Homo sapiens	1:Experimental evidence at protein level	Transcriptional adapter 3	1.0	0.999	6	26	18	26	6	3	4	5	5	3	4	2	3	3	4	2	6	3	4	5	5	3	199209.78	210417.47	219561.78	160888.89	231147.69	198025.58	52762.984	57449.207	59658.75	56334.176	58482.305	57333.973	
sp|O75529|TAF5L_HUMAN	O75529	TAF5L_HUMAN	TAF5L	589	Homo sapiens	1:Experimental evidence at protein level	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	1.0	0.999	3	6	6	6	1	2	1	0	1	1	1	2	1	0	1	1	1	2	1	0	1	1	36122.67	137893.42	88780.69	39900.133	44766.812	17752.635	35340.953	37065.55	31960.877	38987.746	44184.99	0.0	
sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	Homo sapiens	1:Experimental evidence at protein level	Barrier-to-autointegration factor	1.0	0.999	6	115	115	115	18	21	17	20	20	19	18	21	17	20	20	19	18	21	17	20	20	19	1861343.4	1909905.2	1675220.1	1630013.4	1722885.2	1599318.4	565328.06	570955.94	568199.0	541669.4	546706.94	507643.16	
